epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8223,1.0016,2.54477,1.59246,0.00333,1,0.47588,0.32273,0.73294,3.22215,1.59916,8e-05,8e-05,8e-05
2,70.6779,0.63002,1.97631,1.25577,0.00333,1,0.90997,0.67518,0.57976,3.02704,1.37354,0.000176436,0.000176436,0.000176436
3,107.559,0.59378,1.22736,1.17733,0.00333,1,0.90831,0.80674,0.46955,2.90752,1.15349,0.000268912,0.000268912,0.000268912
4,140.674,0.5328,0.95043,1.16776,0.88559,1,0.98545,0.81668,0.67033,2.77687,1.35267,0.000357428,0.000357428,0.000357428
5,170.171,0.52868,0.97992,1.12361,0.92724,0.63791,0.90791,0.66057,0.83657,2.95393,1.50449,0.000441984,0.000441984,0.000441984
6,200.207,0.53803,0.89756,1.12329,0.946,0.87664,0.96348,0.7329,0.93232,2.74119,1.54003,0.00052258,0.00052258,0.00052258
7,236.557,0.5075,0.87721,1.10047,1,0.98988,0.995,0.68476,1.09475,2.42139,1.93428,0.000599216,0.000599216,0.000599216
8,271.929,0.51063,0.85752,1.10143,0.94858,1,0.99024,0.88691,0.55703,1.97379,1.16687,0.000671892,0.000671892,0.000671892
9,305.802,0.54172,0.83023,1.10624,0.9489,1,0.995,0.87397,0.64093,2.03036,1.32514,0.000740608,0.000740608,0.000740608
